bond_proceeds,business_name,compensation_from_other_srcs,contrct_rcvd_greater_than_100k,ein,exclusion_amount,executive_compensation,formation_year,fundraising_expenses,group_return_for_affiliates,indiv_rcvd_greater_than_100k,investment_income,management_and_general_expenses,net_assets_boy,net_assets_eoy,net_fundraising,net_inventory_sales,operating_margin,other_compensations,other_revenue,other_salaries_and_wages,professional_fundraising_fees,program_efficiency,program_service_revenue,program_services_expenses,related_or_exempt_func_income,rental_property_income,royalties,sales_of_assets,tax_period_begin,tax_period_end,tot_reportable_comp_rltd_org,total_assets_boy,total_assets_eoy,total_comp_greater_than_150k,total_contributions,total_employees,total_expenses,total_gross_ubi,total_liabilities_boy,total_liabilities_eoy,total_revenue,total_volunteers,unrelated_business_revenue,voting_members_governing_body,voting_members_independent,website
0,Hunterdon Art Museum,false,0,221550244,28214,69952,1952,43609,false,0,12397,181967,2290030,2444915,7617,0,0.19489977546912993,,7192,274833,0,0.6740419628923183,196538,466464,223304,8200,0,19574,2014-07-01,2015-06-30,,3220212,2909986,false,608052,50,692040,0,930182,465071,859570,60,,13,13,www.HunterdonArtMuseum.org
0,,false,0,221550244,216114,66621,1952,54494,false,0,14023,165160,2229200,2290030,10240,0,0.009169396880344523,,3973,242582,0,0.6486199405552232,189501,405464,6005,2350,0,2032,2013-07-01,2014-06-30,,3171210,3220212,false,408784,50,625118,0,942010,930182,630903,60,,11,11,www.HunterdonArtMuseum.org
,,,,221550244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,UTAH SYMPHONY & OPERA,0,12,510145980,2086921,1935183,1975,1188935,0,25,2280046,2426862,56314670,54586429,-193125,,-0.07221267839105708,292645,0,12466664,,0.8656462865610504,7304057,23296723,7441111,137054,0,,2022-09-01,2023-08-31,0,59593434,59399593,1,15571951,642,26912520,0,3278764,4813164,25099983,476,0,56,52,usuo.org
0,UTAH SYMPHONY & OPERA,0,11,510145980,-394652,1023823,1975,1217500,0,9,-614537,2378254,60929240,56314670,,,0.01888607268339695,140211,0,11656018,,0.8520642744887507,6590657,20710437,6590657,219885,0,,2021-09-01,2022-08-31,0,65182568,59593434,1,18578071,419,24306191,0,4253328,3278764,24774076,501,0,58,54,usuo.org
0,UTAH SYMPHONY & OPERA,0,4,510145980,375937,1057172,1975,956319,0,7,449582,1804473,45535173,60929240,-10651,,0.2833387491515692,198634,0,9065285,,0.8434858181288372,2401514,14878453,2401514,-62994,0,,2020-09-01,2021-08-31,0,49887309,65182568,1,21835635,419,17639245,0,4352136,4253328,24613086,386,0,60,56,usuo.org
0,UTAH SYMPHONY & OPERA,0,6,510145980,1964590,1179932,1975,929547,0,9,1909452,2004094,42701444,45535173,-1450,0,0.036643372066039556,281476,0,8792307,0,0.8384003911475544,4080531,15220122,4080531,56588,0,0,2019-09-01,2020-08-31,0,47405494,49887309,1,12799160,574,18153763,0,4704050,4352136,18844281,248,0,57,51,usuo.org
0,UTAH SYMPHONY & OPERA,0,10,510145980,1633355,1320118,1975,1183639,0,15,1531575,2118258,40759998,42701444,-36095,,0.15162170315618057,401545,0,10482716,0,0.858418745325411,7924981,20019672,7924981,137875,0,0,2018-09-01,2019-08-31,0,45797546,47405494,1,17931251,574,23321569,0,5037548,4704050,27489587,698,0,55,52,www.usuo.org
0,UTAH SYMPHONY & OPERA,0,12,510145980,1734848,1393800,1975,1213815,0,11,1826081,2064671,39918004,40759998,-198453,,-0.05844240104869069,424399,0,10575129,,0.8594645389602741,7424721,20050046,7424721,107220,0,,2017-09-01,2018-08-31,0,44141127,45797546,1,12880867,549,23328532,0,4223123,5037548,22040436,632,0,56,53,www.usuo.org
0,UTAH SYMPHONY & OPERA,0,10,510145980,1973213,979310,1975,1194003,0,6,1760737,2079065,42080985,39918004,-92721,,-0.013665027636813204,0,66806,10459603,,0.8545728533990634,7030065,19233514,7096871,305197,0,,2016-09-01,2017-08-31,0,45465319,44141127,1,13133091,533,22506582,0,3384334,4223123,22203175,632,0,42,36,www.usuo.org
0,UTAH SYMPHONY & OPERA,0,12,510145980,1785047,993955,1975,1175003,0,6,1796826,1947889,41225137,42080985,-139232,0,0.01671357803070321,202192,65986,10166328,0,0.8592205226520796,5925723,19059972,5991709,127453,0,0,2015-09-01,2016-08-31,0,45434507,45465319,1,14783165,514,22182864,0,4209370,3384334,22559921,632,0,46,43,www.usuo.org
0,UTAH SYMPHONY & OPERA,0,7,510145980,1408371,723555,1975,1176425,0,4,1214202,2005690,42539468,41225137,-2136,,-0.006092876891995554,201513,50016,10000087,,0.8435200385215942,5341698,17153492,5391714,196305,0,,2014-09-01,2015-08-31,0,47128990,45434507,1,13412370,519,20335607,0,4589522,4209370,20212455,602,0,45,42,WWW.USUO.ORG
0,,0,6,510145980,1984125,690364,1975,1307505,0,3,1742153,1922445,38509075,42539468,-1557,,0.009569957028517422,216507,56093,9678087,,0.840990294300999,5235991,17082961,5292084,243529,0,,2013-09-01,2014-08-31,0,42095296,47128990,1,13232974,474,20312911,0,3586221,4589522,20509183,597,0,45,42,WWW.USUO.ORG
,,,,510145980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,-77495,,1973,0,false,,3787,8340,538470,533060,,,-0.008916181303377601,,3280,,,0.9863763778807263,,603832,3280,,,-81282,2023-01-01,2023-12-31,,538470,533060,false,680977,0,612172,0,,0,606762,65,0,6,6,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,53,,1973,0,false,,53,4473,545135,538470,,,-0.02569256620466353,,12245,,,0.98470178222698,,287914,12245,,,,2022-01-01,2022-12-31,,545135,538470,false,272765,0,292387,0,,0,285063,65,0,6,6,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,2899,0,1973,0,false,,2519,9355,415130,471416,,,0.308939519515234,0,,,,0.9256979468646995,,116550,0,,,380,2020-01-01,2020-12-31,0,415130,471416,false,179292,0,125905,0,,0,182191,65,0,5,5,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,0,,1973,0,false,,3083,12227,381549,415130,,,0.06728054832615067,,,,,0.973735763782978,,453311,3113,,,30,2019-01-01,2019-12-31,,381549,415130,false,496006,0,465538,0,,0,499119,65,0,5,5,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,0,0,1973,0,false,,2624,5247,313207,381549,,,0.16894173485279212,0,,,,0.984392661249063,,330941,2399,,,-225,2018-01-01,2018-12-31,0,313207,381549,false,402131,0,336188,0,,0,404530,65,0,5,5,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,,,1973,0,false,,1175,10816,285316,313207,,,0.14884567354388362,,,,,0.9321842611808817,,148675,8506,,,7331,2017-01-01,2017-12-31,,285316,313207,false,178876,0,159491,0,,0,187382,65,,5,5,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,false,,942801002,,,1973,0,false,,603,6832,,285316,,,-0.07099443011762901,,,,,0.9694226009586766,,216601,-25443,,,-26046,2016-01-01,2016-12-31,,,285316,false,234065,0,223433,0,,0,208622,65,,5,5,N/A
,KANNADA KOOTA OF NORTHERN CALIFORNIA,,,942801002,,,,,,,,,243709,300128,,,,,47404,,,,,,,,,,2015-01-01,2015-12-31,,,,,,,,,,,,,,,,WWW.KKNC.ORG
,KANNADA KOOTA OF NORTHERN CALIFORNIA,,,942801002,,,,,,,,,206168,243709,,,,,20975,,,,,,,,,,2014-01-01,2014-12-31,,,,,,,,,,,,,,,,WWW.KKNC.ORG
,,,,942801002,,,,,,,,,194193,206168,,,,,44588,,,,,,,,,,2013-01-01,2013-12-31,,,,,,,,,,,,,,,,WWW.KKNC.ORG
0,Ngoma Center for Dance,false,,454864757,0,0,2012,0,false,0,0,95000,205840,224710,0,,0.03960217339749711,0,0,,0,0.792403724495705,155618,362619,155618,0,0,,2023-01-01,2023-12-31,0,523137,305292,false,320871,0,457619,0,317297,80582,476489,8,0,9,0,www.ngcfddt.org
0,Ngoma Center for Dance,false,,454864757,0,0,2012,0,false,0,0,254454,177847,205840,0,,0.06435512682279752,0,0,,0,0.37478131818449867,50832,152530,50832,0,0,,2022-01-01,2022-12-31,0,199347,523137,false,384145,0,406984,0,21500,317297,434977,4,0,9,0,www.ngcfddt.org
0,Ngoma Center for Dance,false,,454864757,0,0,2012,0,false,0,0,77146,151085,177847,0,,0.10238576194411288,0,0,,0,0.6711902549633026,63812,157476,63812,0,0,,2021-01-01,2021-12-31,0,216925,199347,false,197572,0,234622,0,65840,21500,261384,20,0,9,9,www.ngcfddt.org
0,Ngoma Center for Dance,false,,454864757,0,0,2012,0,false,0,0,59383,90564,151085,0,,0.20679204280647565,0,0,,0,0.7441986689353637,21039,172762,21039,0,0,,2020-01-01,2020-12-31,0,102514,216925,false,271627,0,232145,0,11950,65840,292666,20,0,9,9,www.ngcfddt.org
0,Ngoma Center for Dance,false,,454864757,0,15474,2012,0,false,0,0,58581,77881,90564,0,,0.026012430351639915,0,0,,0,0.687967401725791,93192,129159,93192,0,0,,2019-01-01,2019-12-31,0,98989,102514,false,99562,0,187740,0,21108,11950,192754,20,0,9,9,www.ngcfddt.org
0,Ngoma Center for Dance,false,,454864757,0,22736,2012,0,false,0,0,0,39918,77881,0,,0.022261996801558975,0,0,,,1.0,138485,276957,138485,0,0,,2018-01-01,2018-12-31,0,71668,98989,false,144778,0,276957,0,31750,21108,283263,15,0,7,7,www.ngcfddt.org
,Ngoma Center for Dance,,,454864757,,,,,,,,,1349,2974,,,,,18695,,,,,,,,,,2017-01-01,2017-12-31,,,,,,,,,,,,,,,,www.ngcfddt.org
,Ngoma Center for Dance,,,454864757,,,,,,,,,1049,10063,,,,,,,,,,,,,,,2016-01-01,2016-12-31,,,,,,,,,,,,,,,,www.ngoma-center-for-dance.org
,Ngoma Center for Dance,,,454864757,,,,,,,,,300,1349,,,,,,,,,,,,,,,2015-01-01,2015-12-31,,,,,,,,,,,,,,,,www.ngoma-center-for-dance.org
,Ngoma Center for Dance,,,454864757,,,,,,,,,2724,5448,,,,,,,,,,,,,,,2014-01-01,2014-12-31,,,,,,,,,,,,,,,,www.ngoma-center-for-dance.org
0,BLANK FORMS INC,false,0,811440050,,95000,2016,154754,false,0,467,114583,361073,1121636,0,88853,0.41289760258778635,,5030,269006,0,0.7511813336806893,223221,813126,317571,0,0,0,2023-01-01,2023-12-31,,671568,1396627,false,1526167,11,1082463,0,310495,274991,1843738,2,,20,19,www.blankforms.org
0,BLANK FORMS INC,false,0,811440050,,84542,2016,128594,false,0,748,134679,516054,361073,0,228118,-0.1675884190126832,,17335,221915,0,0.7561508074338562,190288,816382,436489,0,0,0,2022-01-01,2022-12-31,,731285,671568,false,488199,8,1079655,0,215231,310495,924688,2,,16,15,www.blankforms.org
0,BLANK FORMS INC,false,1,811440050,240,85247,2016,155991,false,0,240,87090,543308,516054,0,192799,-0.03378939828954288,,5178,182901,0,0.713090403062182,42361,604158,240617,0,279,0,2021-01-01,2021-12-31,,963620,731285,false,578690,6,847239,0,420312,215231,819547,3,,13,12,www.blankforms.org
0,BLANK FORMS INC,false,0,811440050,34,76000,2016,105349,false,0,34,58598,122908,543308,0,589534,0.3540041340480636,199,7007,112566,0,0.7866656777246005,52235,604551,648776,0,0,0,2020-01-01,2020-12-31,,222873,963620,false,540823,4,768498,0,99965,420312,1189633,12,,11,10,www.blankforms.org
0,BLANK FORMS INC,false,0,811440050,,72013,2016,66662,false,0,0,49588,76920,122908,0,36040,0.08365676951937383,199,2410,64988,0,0.7720440734400461,195200,393717,233650,0,0,0,2019-01-01,2019-12-31,,124748,222873,false,322874,4,509967,0,47828,99965,556524,11,,10,9,www.blankforms.org
0,BLANK FORMS INC,false,0,811440050,,70000,2016,55602,false,0,0,35811,16560,76920,0,42350,0.1118351450651538,1608,4340,48619,0,0.8093031794276988,88993,387950,135683,0,0,0,2018-01-01,2018-12-31,,41484,124748,false,404040,4,479363,0,24924,47828,539723,4,,8,7,www.blankforms.org
0,BLANK FORMS INC,false,0,811440050,,66000,2016,43990,false,0,0,30454,34717,16560,0,6342,-0.06975118223970558,3844,7131,20834,0,0.7326658718416479,83025,204024,96498,0,0,0,2017-01-01,2017-12-31,,42311,41484,false,163813,3,278468,0,7594,24924,260311,4,,8,7,www.blankforms.org
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,418968,,2016,0,false,,10061,0,402937,429959,,,0.05171189687474285,,,,,1.0,418968,495527,10061,,,,2023-01-01,2023-12-31,,402937,429959,false,93520,0,495527,0,,0,522549,,,6,6,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,482981,,2016,0,false,,1084,0,290621,402937,,,0.1903412605473523,,,,,1.0,482981,477761,1084,,,,2022-01-01,2022-12-31,,290621,402937,false,106012,0,477761,0,,0,590077,,,6,6,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,333980,,2016,0,false,,186,0,190522,290621,,,0.24434414544602406,,,,,1.0,333980,309565,186,,,,2021-01-01,2021-12-31,,190522,290621,false,75498,0,309565,0,,0,409664,,,5,5,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,47784,,2016,505,false,,1040,0,278187,190522,,,-0.585588895420296,,,,,0.9978725107322355,47784,236864,1040,,,,2020-01-01,2020-12-31,,278187,190522,false,100880,0,237369,0,,0,149704,,,4,4,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,367820,,2016,461,false,,1694,0,230033,278187,,,0.12462408836576137,,,,,0.9986370624408704,367820,337779,1694,,,,2019-01-01,2019-12-31,,230033,278187,false,16880,0,338240,0,,0,386394,,,4,4,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,337695,,2016,812,false,,715,0,154985,230033,,,0.18929096600238607,,,,,0.9974737182698081,337695,320609,715,,,,2018-01-01,2018-12-31,,154985,230033,false,58059,0,321421,0,,0,396469,,,4,4,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,350775,,2016,658,false,,54,0,57834,154985,,,0.27588821459707674,,,,,0.9974194864072035,350775,254330,54,,,,2017-01-01,2017-12-31,,57834,154985,false,1310,0,254988,0,,0,352139,,,4,4,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,BEVERLYS TERRACE PLAZA PLAYHOUSE,false,,812040414,97081,,2016,0,false,,1,0,,57834,,,0.5529908972691807,,,,,1.0,97081,46750,1,,,,2016-01-01,2016-12-31,,,57834,false,7502,0,46750,0,,0,104584,,,4,4,HTTPS://WWW.TERRACEPLAYHOUSE.COM/
,TRISHA BROWN COMPANY INC,0,0,510173127,5189,131040,1970,54173,0,1,4973,190994,903752,956720,0,,0.044637860942377316,31068,216,460275,,0.7837362214726264,433289,888481,433289,,,,2022-07-01,2023-06-30,0,1052199,1155348,1,748138,48,1133648,0,148447,198628,1186616,9,0,9,9,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,6894,127487,1970,101077,0,1,72,193439,383858,903752,0,,0.26697045883092396,9000,6822,617686,,0.7936826177416304,909682,1132974,909682,,,,2021-07-01,2022-06-30,0,834913,1052199,0,1030808,48,1427490,0,451055,148447,1947384,9,0,9,9,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,2228,122014,1970,69106,0,1,95,175866,278150,383858,,,0.053946773460979376,6645,2133,399930,,0.7380642553705639,547074,690265,547074,,,,2020-07-01,2021-06-30,0,638413,834913,0,439265,38,935237,0,360263,451055,988567,11,0,11,11,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,7807,136902,1970,135292,0,1,800,175010,390671,278150,,,-0.08063726667034543,6742,7007,724647,,0.7942182532471925,803535,1197616,803535,,,,2019-07-01,2020-06-30,0,582769,638413,0,584055,36,1507918,0,192098,360263,1395397,13,0,11,11,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,8183,141692,1970,117563,0,1,1358,190409,308176,390671,0,,0.050188446223622854,8267,6825,715649,,0.8027350580639376,615880,1253238,615880,,,,2018-07-01,2019-06-30,0,450274,582769,0,1019642,53,1561210,0,142098,192098,1643705,13,0,11,11,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,18394,141931,1970,127528,0,1,497,186341,868003,308176,0,,-0.35899969732103465,8142,17897,872685,,0.8518951414071587,1149970,1805366,1149970,,,,2017-07-01,2018-06-30,0,1035470,450274,1,391044,65,2119235,0,167467,142098,1559408,14,0,10,10,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,9590,142171,1970,137172,0,1,1078,160771,1532268,868003,0,,-0.515804598883568,7454,8512,693047,,0.8382402602549778,726448,1543943,726448,,,,2016-07-01,2017-06-30,0,1664155,1035470,0,479083,47,1841886,0,131887,167467,1215121,15,0,11,11,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,9323,144601,1970,148547,0,1,601,142112,218416,1532268,0,,0.40052091875338,12994,8722,785118,,0.8521952132360644,1227406,1675847,1227406,,,,2015-07-01,2016-06-30,0,328338,1664155,1,2043629,41,1966506,0,109922,131887,3280358,17,0,13,12,TRISHABROWNCOMPANY.ORG
,TRISHA BROWN COMPANY INC,0,0,510173127,7016,147973,1970,145582,0,1,182,161456,526011,218416,0,,-0.1673804211786472,16446,6834,746806,,0.8568784246455615,1185025,1838257,1185025,,,,2014-07-01,2015-06-30,0,730212,328338,1,645659,44,2145295,0,204201,109922,1837700,20,0,14,13,TRISHABROWNCOMPANY.ORG
,,,,510173127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Marsh Opera Company,0,0,061603236,-17285,0,2000,10913,0,0,14248,37974,325295,829054,,,0.5671965369194195,0,,70072,,0.8664037755751768,50576,317044,50576,,,-31533,2023-01-01,2023-12-31,0,349662,858155,0,812199,2,365931,0,24367,29101,845490,25,0,9,8,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,17494,0,2000,10772,0,0,5444,37724,389558,325295,12050,,-0.08864371696710276,0,,66112,,0.8507962292943464,59216,276536,59216,,,,2022-01-01,2022-12-31,0,423191,349662,0,221856,0,325032,0,33633,24367,298566,0,0,13,13,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,16708,0,2000,6555,0,0,4583,36244,316421,389558,12125,,0.14964534769582696,0,,63558,,0.8567996654119615,58541,256076,58541,,,,2021-01-01,2021-12-31,0,363787,423191,0,276222,2,298875,0,47366,33633,351471,20,0,13,13,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,20122,53960,2000,8327,0,0,3272,28445,280723,316421,16850,,0.15590190069982193,0,,51863,,0.774505896132407,2025,126301,2025,,,,2020-01-01,2020-12-31,0,293013,363787,0,171045,2,163073,0,12290,47366,193192,15,0,13,13,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,51449,56000,2000,3581,0,0,53,33427,9811,280723,51396,,0.47498671884451316,0,,58559,,0.8764113610178831,40720,262437,40720,,,,2019-01-01,2019-12-31,0,10975,293013,0,478188,3,299445,0,1164,12290,570357,13,0,13,13,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,43441,23921,2000,4265,0,0,1,36107,25862,9811,43440,,-0.05023692825799828,0,,,,0.8796866106205503,46082,295185,46082,,,,2018-01-01,2018-12-31,0,26596,10975,0,229983,3,335557,0,734,1164,319506,13,0,13,13,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,20771,30116,2000,4301,0,0,18,50083,18430,25862,20753,,0.02159579939617773,0,,,,0.8384836758150213,42357,282325,42357,,,,2017-01-01,2017-12-31,0,19882,26596,0,281013,3,336709,0,1452,734,344141,25,0,10,10,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,18463,55208,2000,4097,0,0,15,74436,12812,18430,18448,,0.017329985378403225,0,,,,0.7534750125565043,90813,240027,90813,,,,2016-01-01,2016-12-31,0,12812,19882,0,214902,3,318560,0,0,1452,324178,25,0,10,10,www.saltmarshopera.org
,Salt Marsh Opera Company,0,0,061603236,32,45500,2000,4744,0,0,32,52099,1631,12812,,,0.035647106083696256,0,,33368,,0.8120749676834933,93284,245634,93284,,,,2015-01-01,2015-12-31,0,1631,12812,0,220342,3,302477,0,0,0,313658,25,0,10,10,www.saltmarshopera.org
0,Salt Marsh Opera Company,false,0,061603236,,33000,2000,5002,false,0,38,29644,38657,1631,0,0,-0.14292717762637278,,0,50360,0,0.882984723774913,72401,261435,72439,0,0,0,2014-01-01,2014-12-31,,38657,1631,false,186616,3,296081,0,,0,259055,25,,10,10,www.saltmarshopera.org
0,,false,0,061603236,,33417,2000,5470,false,0,26,29234,114461,38657,0,0,-0.2998089708552015,,0,48383,0,0.8944027750308083,79669,293941,79695,0,0,0,2013-01-01,2013-12-31,,114461,38657,false,173146,3,328645,0,,0,252841,25,,13,13,www.saltmarshopera.org
,Gamut Theatre Group,false,0,251727630,16503,75146,,18213,false,0,,176675,1597321,1479773,16503,14805,-0.19735998200140362,2000,,274659,,0.7267222884386174,201436,518262,216241,,,,2023-01-01,2023-12-31,,2473259,2310724,false,362858,12,713150,0,875938,830951,595602,,,11,9,
,Gamut Theatre Group Inc,false,0,251727630,,73796,,23349,false,0,,178797,1710304,1597321,6660,11060,-0.1731667795216968,,25560,224877,,0.7097652795166607,189493,494343,226113,,,,2022-01-01,2022-12-31,,2577502,2473259,false,360909,14,696488,6660,867198,875938,593682,,6660,14,12,
0,GAMUT THEATRE GROUP INC,false,,251727630,0,56770,1994,14267,false,0,0,168672,1657523,1710304,3649,4343,0.07632341542982081,0,0,111010,0,0.7136026977141757,108565,455823,112908,0,0,0,2021-01-01,2021-12-31,0,2496739,2577502,false,574987,13,638763,3649,839216,867198,691544,24,3649,14,2,www.gamuttheatre.org
0,GAMUT THEATRE GROUP INC,false,,251727630,0,0,1994,15537,false,0,0,151256,1676934,1657523,-894,1714,-0.04016703327628984,0,0,87083,0,0.6681845671496892,79319,335875,79319,0,0,,2020-01-01,2020-12-31,0,2549479,2496739,false,403118,0,502668,820,872545,839216,483257,22,820,12,2,
0,GAMUT THEATRE GROUP INC,false,,251727630,12911,67330,1994,14840,false,0,0,154964,1624614,1676934,14946,10444,0.07802352337648587,0,0,105628,0,0.725346018662444,246499,448443,256943,0,0,,2019-01-01,2019-12-31,0,2552593,2549479,false,398678,0,618247,0,927979,872545,670567,24,0,12,10,
,SPACE ON THE FARMINC,0,0,272886262,11254,271856,2010,220430,0,2,1982,177029,1322805,257671,,14203,-1.023030899407567,0,3272,354551,,0.6393133632983681,19120,704492,33323,6000,,,2023-01-01,2023-12-31,0,2035694,942191,1,500126,16,1101951,0,712889,684520,544703,14,0,14,13,WWW.SPACEONRYDERFARM.ORG
,SPACE ON THE FARMINC,0,0,272886262,23969,182257,2010,303424,0,1,9700,250025,1889805,1322805,0,570,-0.7003986219317414,7500,14269,441474,,0.5979416493103356,5250,823090,5820,,,,2022-01-01,2022-12-31,0,1971566,2035694,0,779750,17,1376539,0,81761,712889,809539,19,0,15,14,WWW.SPACEONRYDERFARM.ORG
,SPACE ON THE FARMINC,0,0,272886262,9326,283315,2010,280582,0,2,79,314115,1645966,1889805,,97196,0.14361456200147124,0,7648,380572,,0.5910014360069105,15000,859335,112196,,,1599,2021-01-01,2021-12-31,0,1828583,1971566,0,1576349,21,1454032,0,182617,81761,1697871,17,0,16,15,WWW.SPACEONRYDERFARM.ORG
,SPACE ON THE FARMINC,0,0,272886262,17916,119054,2010,162764,0,1,689,352680,1849085,1645966,,73786,-0.2091260624434703,0,5449,411407,,0.5521799606779108,6654,635563,80440,,,11778,2020-01-01,2020-12-31,0,1931638,1828583,0,853577,27,1151007,0,82553,182617,951933,19,0,11,9,WWW.SPACEONRYDERFARM.ORG
,SPACE ON THE FARMINC,0,0,272886262,35793,96154,2010,189353,0,0,6736,391705,857458,1849085,0,102718,0.441629747061939,0,29057,428056,,0.5344944441328922,28601,667172,131319,,,,2019-01-01,2019-12-31,0,940356,1931638,0,2068376,43,1248230,0,82898,82553,2235488,40,0,17,15,WWW.SPACEONRYDERFARM.ORG
,SPACE ON THE FARMINC,0,0,272886262,7349,74000,2010,159286,0,0,138,95956,738390,857458,0,,0.14489709572783363,0,7211,236468,,0.6786506555606195,43926,539040,43926,,,,2018-01-01,2018-12-31,0,765224,940356,0,877598,34,794282,0,26834,82898,928873,40,0,18,16,WWW.SPACEONRYDERFARM.ORG
0,SPACE ON THE FARM INC,false,0,272886262,,72385,2010,91130,false,0,0,54616,640012,738390,-46681,0,0.10482264161557947,,0,148031,0,0.7455733790004556,58771,427095,58771,0,0,0,2017-01-01,2017-12-31,,683576,765224,false,627829,13,572841,0,43564,26834,639919,35,,18,17,WWW.SPACEONRYDERFARM.ORG
0,SPACE ON THE FARM INC,false,0,272886262,,59615,2010,101540,false,0,0,43566,161045,640012,-19258,0,0.5299374431578039,,0,104750,0,0.6584543757693874,54559,279745,54559,0,0,0,2016-01-01,2016-12-31,,170307,683576,false,868517,5,424851,0,9262,43564,903818,50,,13,12,WWW.SPACEONRYDERFARM.ORG
,SPACE ON THE FARM INC,0,0,272886262,3974,53000,2010,67599,0,0,2,45709,111010,161045,3972,,0.13429474791720347,3709,4366,63773,,0.6487020254789314,79106,209233,83472,,,,2015-01-01,2015-12-31,0,120830,170307,0,285130,4,322541,0,9820,9262,372576,15,0,11,11,WWW.SPACEONRYDERFARM.ORG
,SPACE on the Farm Inc,0,0,272886262,0,42072,2010,0,0,0,,24434,34743,111010,,,0.2510641099497984,0,,,,0.892601578845579,47997,203074,57667,9670,,,2014-01-01,2014-12-31,0,34743,120830,0,246108,2,227508,0,0,9820,303775,30,0,7,7,www.spaceonryderfarm.org
,,,,272886262,,,,,,,,,8848,34743,,,,,,,,,,,,,,,2013-01-01,2013-12-31,,,,,,,,,,,,,,,,www.spaceonryderfarm.com
,CHICAGO INDUSTRIAL ARTS AND DESIGN,false,,472371415,2098,,2014,205,false,,2098,4026,-100487,-45900,,,0.0619395835516369,,,257089,,0.991560314528387,371375,497091,371375,,,,2023-01-01,2023-12-31,,313788,380887,false,160951,19,501322,0,414275,426787,534424,,,3,3,WWW.CIADC.ORG
,CHICAGO INDUSTRIAL ARTS AND DESIGN,false,,472371415,1156,55763,2014,1195,false,,1156,5981,-72615,-100487,,,-0.0367724513052305,,,226877,,0.9852708452638255,352885,480021,352885,,,,2022-01-01,2022-12-31,,273780,313788,false,115876,15,487197,0,346395,414275,469917,,,3,3,WWW.CIADC.ORG
,CHICAGO INDUSTRIAL ARTS AND DESIGN,false,,472371415,,50005,2014,2037,false,,,3999,-107106,-72615,,,0.05763425349454866,,,136047,,0.9854725745505307,314404,409454,314404,,,,2021-01-01,2021-12-31,,197099,273780,false,126497,15,415490,0,304205,346395,440901,,,3,3,WWW.CIADC.ORG
,CHICAGO INDUSTRIAL ARTS AND DESIGN,false,,472371415,,41673,2014,2595,false,,,7800,-70126,-107106,,,-0.21582993033869805,,,102810,,0.9714758470809048,206570,354033,206570,,,,2020-01-01,2020-12-31,,136690,197099,false,93166,2,364428,0,206816,304205,299736,,,3,3,WWW.CIADC.ORG
